w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2stdtotal
1,0,0,1,1,0,0.779897721
0,0,0,1,1,0,0.515191044
0,0,1,1,1,0,0.326114845
1,0,0,1,1,0,0.269391986
0,0,0,0,1,1,0.553006283
0,0,0,0,1,0,0.836620581
1,0,0,1,1,0,1.384941556
0,0,0,1,1,0,0.307207225
0,0,0,1,1,0,0.553006283
0,0,0,1,1,0,0.602462377
0,0,0,1,1,0,0.477375804
0,0,0,1,1,0,0.628636763
1,0,1,1,1,0,-0.430189948
0,0,0,1,1,0,0.288299606
0,0,0,1,1,0,0.87443582
0,0,0,1,1,0,0.193761506
0,0,0,0,1,1,0.515191044
0,0,0,1,1,0,0.269391986
1,0,1,1,1,0,0.968973919
0,0,0,1,1,0,-0.751619485
0,0,0,1,1,0,0.269391986
1,0,1,1,1,0,0.099223407
1,0,0,1,0,1,0.269391986
0,0,0,1,1,0,0.212669126
1,0,0,1,0,0,-0.20329851
1,0,1,1,1,0,-0.16548327
0,0,0,1,1,0,0.742082481
0,0,0,1,1,0,-0.411282328
1,0,1,1,1,0,0.496283424
0,0,0,1,1,0,0.628636763
0,0,0,1,0,1,-0.505820427
1,0,1,1,0,1,0.89334344
0,0,0,1,1,0,0.685359622
0,0,1,1,1,0,0.231576746
0,0,0,1,1,0,0.212669126
0,0,0,1,1,0,-0.335651849
1,0,0,1,1,0,0.118131027
1,0,1,1,0,0,1.101327258
0,0,0,1,1,0,0.137038647
0,0,0,0,0,1,0.723174862
1,0,0,1,1,0,0.420652944
0,0,0,1,1,0,0.477375804
0,0,0,1,1,0,-0.278928989
1,0,1,1,1,0,0.534098663
0,0,0,1,1,0,0.458468184
1,0,0,1,1,0,0.647544382
0,0,1,1,1,0,0.553006283
0,0,0,1,1,0,0.609729143
0,0,0,1,1,0,0.155946267
1,0,1,1,1,0,0.004685308
1,0,0,1,1,0,0.91225106
0,0,1,1,1,0,0.534098663
0,0,0,0,1,1,0.779897721
1,0,0,1,1,0,-0.430189948
1,0,1,1,0,1,0.8555282
0,0,0,1,1,0,0.609729143
0,0,0,1,0,0,-0.260021369
0,0,0,0,1,1,0.666452002
0,0,0,1,1,0,0.779897721
0,0,0,1,1,0,0.477375804
0,0,0,1,1,0,-0.524728047
1,0,1,1,1,0,0.817712961
0,0,0,1,1,0,0.779897721
0,0,0,1,1,0,0.553006283
0,0,1,1,1,0,0.250484366
0,0,0,1,1,0,1.063512019
0,0,0,1,1,0,0.590821523
1,1,0,1,1,0,0.553006283
0,0,0,1,1,0,0.779897721
0,0,0,0,1,0,0.779897721
0,0,0,0,0,1,0.080315788
0,0,0,1,1,0,-0.278928989
0,0,0,0,1,0,0.704267242
1,0,0,1,1,0,0.004685308
1,0,1,1,1,0,-0.127668031
0,0,0,1,1,0,0.553006283
0,0,0,1,1,0,0.553006283
0,0,0,1,1,0,0.836620581
0,0,0,1,1,0,0.345022465
1,0,1,1,1,0,0.155946267
1,1,0,1,1,0,-0.014222312
0,0,0,1,1,0,0.685359622
0,0,1,1,1,0,-0.070945171
0,0,0,1,1,0,0.760990101
1,0,0,1,1,0,0.609729143
0,0,0,1,1,0,0.345022465
0,0,0,1,1,0,0.288299606
1,0,0,1,1,0,0.8555282
0,0,0,1,1,0,0.099223407
1,0,1,1,1,0,0.779897721
0,0,0,1,1,0,0.8555282
0,0,0,1,1,0,0.212669126
1,0,1,1,1,0,0.647544382
0,0,1,0,1,0,0.678092856
0,0,0,1,1,0,0.628636763
0,0,0,1,1,0,0.345022465
0,0,0,1,0,1,0.496283424
0,0,0,1,1,0,0.477375804
0,0,0,1,1,0,0.288299606
0,0,0,1,1,0,0.647544382
0,0,0,1,1,0,0.9500663
1,0,1,1,1,0,-0.127668031
1,0,1,1,1,0,0.288299606
0,0,0,1,1,0,0.87443582
1,0,1,1,1,0,0.817712961
0,0,0,1,1,,-0.468005187
0,0,0,1,1,0,0.345022465
0,0,0,1,1,0,0.590821523
1,0,1,1,1,0,-0.638173766
1,0,1,1,1,0,0.968973919
0,0,0,1,1,0,0.534098663
0,0,0,1,1,0,-0.789434725
0,0,0,1,1,0,-0.392374708
1,0,1,1,1,0,-2.41549003
1,0,1,1,0,0,0.600275333
1,0,1,1,1,1,0.269391986
1,0,1,1,1,0,0.070861978
1,0,1,1,1,0,0.31884808
1,0,1,1,1,0,-0.004768502
1,0,1,1,1,0,-0.364013278
1,0,1,1,1,0,0.118131027
1,0,1,1,1,0,0.193761506
1,0,1,1,1,0,-0.108760411
1,0,1,1,1,0,-0.657081386
1,0,1,1,1,0,0.810446195
1,0,0,1,1,0,-2.302044311
1,0,1,1,1,0,-0.619266146
1,0,1,1,1,0,-0.505820427
1,0,1,1,1,0,-0.326198039
1,0,1,1,1,0,0.515191044
1,0,1,1,1,0,0.789351531
1,0,0,1,1,0,-0.581450906
0,0,1,1,1,0,-0.108760411
1,1,1,1,1,0,-2.103514303
1,0,0,1,1,0,0.694813432
1,0,1,1,1,0,-0.505820427
1,0,1,1,1,0,-0.137121841
1,0,1,1,0,1,-0.24111375
1,0,,1,1,0,-0.335651849
1,1,1,1,0,0,-0.382920898
1,0,1,1,1,0,0.838807625
1,0,1,1,1,0,0.489016658
1,0,0,1,1,0,0.392291515
1,0,0,1,1,1,1.025696779
1,0,1,1,1,0,-0.770527105
1,1,1,1,0,,0.486829614
0,0,0,1,1,0,-0.108760411
0,0,1,1,1,0,-0.089852791
0,0,0,1,1,0,0.212669126
0,0,0,1,1,0,0.155946267
0,0,0,1,1,0,0.137038647
0,0,0,1,1,0,1.271495837
0,0,0,1,1,0,0.904984294
1,0,1,1,1,0,0.137038647
1,0,1,1,1,0,0.023592928
1,0,1,1,1,0,0.496283424
0,0,0,1,1,1,0.583554757
0,0,0,1,1,0,-0.052037551
0,0,0,1,0,1,0.26212522
0,0,0,1,1,0,-0.883972824
0,0,0,1,1,0,-0.940695683
0,0,0,1,1,0,0.545739518
1,0,0,1,1,0,-0.260021369
0,0,0,1,1,0,0.451201419
0,0,0,1,1,0,-0.846157584
1,0,1,1,1,0,-0.24111375
1,0,0,1,1,0,0.609729143
,0,1,0,1,0,-0.089852791
0,0,0,1,1,0,0.886076675
1,0,1,1,1,0,0.212669126
0,0,0,0,0,1,-0.22220613
0,1,0,0,0,1,0.080315788
0,0,0,1,1,0,0.288299606
1,0,1,1,1,0,0.836620581
0,0,0,1,1,0,0.148679501
1,0,1,1,1,0,-0.335651849
1,1,1,1,1,0,0.118131027
0,0,0,1,1,0,0.583554757
1,0,1,1,1,0,0.458468184
1,0,1,1,1,0,0.723174862
1,0,1,1,1,0,0.779897721
0,0,0,1,1,0,-0.619266146
1,0,1,1,1,0,0.375570939
1,0,1,1,1,0,0.496283424
0,0,0,1,1,0,-0.392374708
0,0,0,1,1,0,1.025696779
1,0,0,0,1,0,-0.543635667
1,0,0,0,1,0,-0.260021369
0,0,0,1,1,0,-0.562543287
0,0,1,1,1,0,-0.543635667
1,0,1,1,1,0,1.120234878
0,0,0,1,1,0,0.439560564
0,0,0,1,1,0,0.101825211
1,0,1,1,1,0,1.412871026
0,0,0,1,1,0,-2.441995028
1,0,1,1,1,0,1.138921154
1,0,1,1,1,0,-0.583049469
1,0,1,1,0,0,1.119353306
1,0,1,1,1,0,-0.680888709
0,0,0,1,1,0,-0.289531749
0,0,1,1,1,1,0.365763389
0,0,0,1,1,0,1.17805685
0,0,1,1,1,0,0.923674826
1,0,1,1,0,1,1.27589609
1,0,1,1,1,0,0.98237837
0,0,0,1,1,0,-0.817863645
0,0,1,1,1,0,0.512750018
0,0,1,1,1,0,1.236760394
0,0,1,0,1,0,0.043121667
1,0,1,0,1,0,0.277935843
1,0,1,1,1,,-0.211260357
0,0,1,1,1,0,0.238800147
1,0,1,1,1,0,1.412871026
1,0,1,1,1,0,-0.661320861
0,0,0,1,1,0,0.199664451
0,0,1,0,0,1,0.29750369
1,0,1,1,0,0,-0.172124661
0,0,0,1,1,0,0.49318217
0,0,0,1,1,0,-0.993974277
0,0,1,1,1,0,0.219232299
1,0,1,1,1,0,1.334599634
1,0,0,1,1,0,-0.896135037
,0,0,1,1,1,0.228788453
1,1,1,1,1,1,0.052677821
0,0,1,0,1,0,-0.426506685
0,0,0,1,1,0,0.78669989
0,0,0,1,0,0,0.727996346
0,0,1,1,1,0,0.88453913
1,0,1,0,1,0,-2.305020092
0,0,1,1,1,0,-0.172124661
0,0,0,1,1,0,-0.543913773
1,0,1,1,1,0,1.510710266
0,0,1,1,1,0,1.001946218
1,1,1,1,1,0,-0.113421117
0,0,1,1,1,0,-0.367803141
0,0,0,0,0,1,0.444034781
1,0,1,1,0,0,0.180096603
1,0,1,0,0,1,0.317071538
0,0,1,1,1,0,0.023553819
0,0,1,0,1,0,-0.622185165
1,0,0,1,1,0,0.473614322
0,0,0,1,1,0,0.140960907
0,0,1,0,1,1,0.258367995
1,0,0,1,1,0,0.669292802
0,0,0,1,1,0,0.723544017
1,0,1,1,1,0,0.94435297
1,0,1,1,1,0,0.488934504
0,0,0,1,1,0,0.295726671
1,0,0,1,1,0,0.212923313
0,0,0,1,1,0,0.088718277
0,0,1,1,1,0,0.157721075
0,0,0,1,1,0,0.171521635
0,0,1,1,1,0,-0.518506343
0,0,0,1,1,0,0.723544017
0,0,1,1,1,0,0.074917718
1,0,1,1,1,0,0.557937302
0,0,1,1,1,0,0.419931707
0,0,1,1,1,0,0.682142338
0,0,0,1,1,0,-0.352899629
0,0,1,1,1,0,0.061117158
0,0,0,1,1,0,1.165161923
0,0,1,1,1,0,-0.62891082
1,0,1,1,1,0,0.143920515
0,0,0,1,1,0,-0.173492354
0,0,0,1,1,0,0.677753346
0,0,1,1,1,0,0.171521635
0,0,1,1,1,0,0.833948493
0,0,0,1,1,0,0.695942898
0,0,0,1,1,0,-0.256295712
0,0,0,1,0,1,-0.504705784
0,0,0,1,1,0,0.070528726
0,0,1,1,1,0,0.263736559
0,1,1,1,1,0,0.401742155
0,0,1,1,1,0,0.778746255
1,0,1,1,1,0,0.212923313
0,0,0,1,1,0,0.447532826
0,0,1,1,1,0,-0.835919213
0,0,1,1,1,0,0.033516039
0,0,0,1,1,0,-0.490905224
1,0,1,1,1,0,-0.753115856
1,0,0,0,1,0,-0.035486759
1,0,0,1,1,0,0.268125551
1,0,0,1,1,0,0.847749053
0,0,1,1,1,0,-0.408101867
1,0,1,0,1,,1.26176584
0,0,0,1,1,0,-0.090688997
0,0,0,0,1,0,-0.32529851
0,0,1,0,1,0,-0.352899629
0,0,1,1,1,0,1.151361363
0,0,1,1,1,0,0.475133945
0,0,1,1,1,0,0.212923313
1,0,1,1,1,0,-0.035486759
