w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
0.544193983,0.757265502,0.832810174,0.563845419,0.779897721,1,0,0,1,1,0,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,9,2,4,9,6,5,4,6,3,3,0,1,1,0,0,0,0,1,1,0,0,0,2,2,2,3,3,3,4,0,1,3,3,3,3,9,4,5,4,2,2,3,3,2,2,0,0,0,0,1,2,2,1,1,1,2,3,3,12,1,1,1,2,3,3,12,3,1,,1
0.898056984,1.819174815,-0.345825043,0.607707646,0.515191044,0,0,0,1,1,0,3,3,2,3,3,3,3,3,2,2,2,2,2,2,3,3,1,9,2,4,9,3,5,4,6,4,6,0,0,0,0,1,0,0,0,1,0,0,0,3,3,2,3,3,3,4,0,1,3,3,3,2,9,3,5,4,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,5,5,1,1,2,1,3,6,5,3,0,1,1
0.842199981,1.329062824,-0.135354468,0.212947603,0.326114845,0,0,1,1,1,0,3,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,3,7,3,3,7,2,5,4,6,2,1,0,1,1,0,0,0,0,1,0,0,0,0,3,2,2,3,3,1,4,1,0,2,1,1,2,9,1,5,4,3,3,1,3,1,1,1,0,0,0,0,2,,1,1,1,1,1,6,12,1,1,1,1,3,6,7,3,1,1,1
-0.288542986,1.002321497,0.36977491,-0.269536894,0.269391986,1,0,0,1,1,0,3,3,2,3,3,3,2,3,2,3,2,2,2,3,3,3,3,7,3,3,7,6,5,3,6,3,3,0,1,1,0,0,0,0,1,1,0,0,0,3,3,2,,,,4,0,1,2,2,2,2,7,4,5,3,3,3,3,3,1,1,0,0,0,0,1,2,2,1,1,2,2,1,8,4,1,1,2,2,1,7,4,3,1,1,1
0.077648997,0.838950834,0.706527829,0.125223149,0.553006283,0,0,0,0,1,1,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,2,9,2,3,8,2,4,3,6,3,4,0,0,1,0,1,0,0,0,1,0,0,0,2,2,2,1,1,2,2,0,1,3,3,2,3,7,13,5,3,1,1,3,3,1,1,1,0,0,0,0,1,3,1,1,3,1,1,8,3,1,1,3,1,1,8,1,3,1,1,0
0.855372012,1.084006829,0.790716059,0.563845419,0.836620581,0,0,0,0,1,0,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,1,7,3,4,7,4,6,4,6,3,3,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,3,2,2,4,0,2,2,2,2,2,6,4,6,4,1,1,3,3,1,2,0,0,0,0,1,1,1,1,1,3,1,3,4,8,1,1,1,1,3,7,13,3,1,1,1
1.379001975,1.900860147,1.001186633,1.177916597,1.384941556,1,0,0,1,1,0,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,1,8,2,3,8,2,6,3,6,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,2,3,3,4,0,1,3,2,2,3,8,2,5,4,2,2,3,3,1,1,1,0,0,0,0,2,1,1,1,2,2,,8,,1,1,1,2,3,7,14,3,1,1,0
0.758333027,0.838950834,0.075116106,0.212947603,0.307207225,0,0,0,1,1,0,2,2,2,2,2,3,1,2,1,1,1,1,1,1,2,3,2,7,2,2,7,6,5,2,6,1,2,0,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,0,1,3,3,3,2,7,4,7,4,,,,,,,1,0,0,0,0,1,2,1,1,2,1,1,8,1,1,1,2,1,3,3,13,3,1,1,1
0.336430997,1.329062824,0.159304336,0.432258738,0.553006283,0,0,0,1,1,0,2,3,3,2,2,2,2,3,2,3,1,3,2,3,2,3,2,8,5,4,7,4,6,4,6,1,1,0,0,1,0,1,0,1,0,0,0,0,0,2,2,2,1,2,2,4,1,1,2,2,2,2,7,2,5,3,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,7,8,1,1,2,1,1,8,2,3,1,0,0
-0.644298017,-0.386329143,0.987495522,0.409954796,0.602462377,0,0,0,1,1,0,3,2,2,2,2,2,2,2,1,1,3,3,2,2,3,3,3,7,4,2,7,5,5,2,6,3,,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,0,1,2,2,2,2,7,2,5,2,3,3,3,3,1,1,1,0,0,0,0,1,3,1,1,3,1,3,6,2,8,1,3,1,3,7,12,3,1,1,0
