,w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
1,0.8980569840000001,1.819174815,-0.34582504299999994,0.607707646,0.5151910439999999,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,9.0,2.0,4.0,9.0,3.0,5.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,2.0,9.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,6.0,5.0,3.0,0.0,1.0,1.0
4,0.077648997,0.838950834,0.7065278290000001,0.125223149,0.553006283,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,2.0,3.0,8.0,2.0,4.0,3.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,7.0,13.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,3.0,1.0,1.0,0.0
5,0.855372012,1.084006829,0.7907160590000001,0.563845419,0.8366205809999999,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,7.0,3.0,4.0,7.0,4.0,6.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,1.0,1.0,1.0,1.0,3.0,7.0,13.0,3.0,1.0,1.0,1.0
8,0.336430997,1.329062824,0.159304336,0.432258738,0.553006283,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,8.0,5.0,4.0,7.0,4.0,6.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,8.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,3.0,1.0,0.0,0.0
11,0.947758019,0.67558017,0.664433714,0.432258738,0.6286367629999999,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,8.0,2.0,3.0,8.0,11.0,6.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,8.0,9.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,13.0,3.0,1.0,1.0,0.0
13,0.484746009,1.002321497,0.622339599,-0.48884802899999996,0.28829960600000004,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,7.0,2.0,4.0,7.0,9.0,5.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,9.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,6.0,1.0,1.0,3.0,1.0,3.0,8.0,6.0,3.0,1.0,1.0,0.0
15,0.6755700109999999,1.002321497,-0.051166237999999996,-0.006363532,0.19376150600000003,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0,2.0,3.0,7.0,13.0,5.0,3.0,6.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,7.0,8.0,1.0,1.0,3.0,1.0,3.0,5.0,7.0,3.0,0.0,1.0,0.0
20,1.2988209720000001,0.10378284800000001,-0.009072124,0.607707646,0.269391986,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,7.0,2.0,4.0,7.0,3.0,5.0,3.0,6.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,7.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,9.0,1.0,1.0,2.0,2.0,3.0,6.0,7.0,3.0,1.0,1.0,0.0
22,0.8119879959999999,0.267153511,0.53815137,-0.050225759,0.269391986,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,2.0,9.0,3.0,7.0,3.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,9.0,3.0,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,8.0,4.0,1.0,1.0,2.0,2.0,3.0,8.0,4.0,3.0,1.0,1.0,1.0
23,0.32565099,0.34883884299999995,0.24349256600000002,0.081360922,0.212669126,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,3.0,4.0,9.0,12.0,5.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,1.0,0.0
