,coefficient
interccept,7.30489E+13
w2a2103b.1,5.97631E+12
w2a2103b,5.97631E+12
w2a2103b.2,5.97631E+12
w2be07,5.86559E+12
w2be07.2,5.86559E+12
w2be07.1,5.86559E+12
w2ba1703.1,5.18993E+12
w2ba1703,5.18993E+12
w2ba1703.2,5.18993E+12
w2be17,4.89387E+12
w2be17.2,4.89387E+12
w2be17.1,4.89387E+12
w2a2104b,4.78435E+12
w2a2104b.2,4.78435E+12
w2a2104b.1,4.78435E+12
w2ba31.3,3.84034E+12
w2ba31,3.84034E+12
w2ba31.1,3.84034E+12
w2ba31.2,3.84034E+12
w2be13,2.84845E+12
w2be13.1,2.84845E+12
w2be13.2,2.84845E+12
w2be13.3,2.84845E+12
w2ba2603,2.72529E+12
w2ba2603.1,2.72529E+12
w2ba2603.2,2.72529E+12
w2ba18.4,2.04465E+12
w2ba18.3,2.04465E+12
w2ba18.5,2.04465E+12
w2ba18,2.04465E+12
w2ba18.1,2.04465E+12
w2ba18.2,2.04465E+12
w2ba1704.1,1.96907E+12
w2ba1704.2,1.96907E+12
w2ba1704,1.96907E+12
w2a2101a.2,1.94464E+12
w2a2101a,1.94464E+12
w2a2101a.1,1.94464E+12
w2be16.2,1.82311E+12
w2be16.1,1.82311E+12
w2be16,1.82311E+12
w2b20.2,1.54732E+12
w2b20,1.54732E+12
w2b20.1,1.54732E+12
w2b20.3,1.54732E+12
w2ba2601,1.52274E+12
w2ba2601.2,1.52274E+12
w2ba2601.1,1.52274E+12
w2be15,1.46551E+12
w2be15.1,1.46551E+12
w2ba2604,1.27654E+12
w2ba2604.1,1.27654E+12
w2ba2604.2,1.27654E+12
w2be06,1.22863E+12
w2be06.1,1.22863E+12
w2a2104a.2,1.19592E+12
w2a2104a.1,1.19592E+12
w2a2104a,1.19592E+12
w2ba30,1.10742E+12
w2ba30.3,1.10742E+12
w2ba30.2,1.10742E+12
w2ba30.1,1.10742E+12
w2bb15.2,9.42843E+11
w2bb15,9.42843E+11
w2bb15.1,9.42843E+11
w2be04.3,8.66415E+11
w2be04.2,8.66415E+11
w2be04,8.66415E+11
w2be04.1,8.66415E+11
w2ba1702,6.78847E+11
w2ba1702.1,6.78847E+11
w2ba1702.2,6.78847E+11
w2b18.2,3.45933E+11
w2b18.3,3.45933E+11
w2b18,3.45933E+11
w2b18.1,3.45933E+11
w2ba24,3.40144E+11
w2ba24.2,3.40144E+11
