,coefficient
w2b18.2,0.052731515
w2a27.2,0.040802517
w2a27,0.040788694
w2ba29.2,0.021093562
w2a29.4,0.011729105
w2bc0204,0.011443996
w2a28.2,0.01131082
w2a27.1,0.009826139
w2be02,0.007618557
w2a28,0.007556753
w2be11,0.007437866
w2ba30.2,0.007125742
w2ba21,0.006910361
w2ba32.1,0.006736959
w2a32.1,0.00662422
w2a29.3,0.006500557
w2ba09,0.006500413
w2b19.2,0.006213139
w2be18.3,0.006002517
w2ba1401,0.005977934
w2bc0205,0.005910411
w2be24,0.005906626
w2ba30,0.005830876
w2bc0201,0.005814395
w2b21,0.005784178
w2b21.1,0.005780254
w2be08,0.005736474
w2ba32.3,0.005610732
w2a05,0.00544861
w2ba1501,0.005353826
w2ba31,0.005191056
w2be17,0.00516675
w2a29.1,0.005092441
w2b19.3,0.005071567
w2ba30.1,0.005065207
w2a2003.1,0.005063562
w2a32.3,0.005058605
w2ba18.3,0.005021033
w2a2006,0.0049915
w2a29.2,0.004981501
w2ba1403,0.004940554
w2a2104b.1,0.004895645
w2ba1404,0.004888749
w2b19,0.004851118
w2ba11.2,0.004802596
w2ba1703.1,0.004795602
w2ba1402,0.004786554
w2ba1704.1,0.004761155
w2a2002.1,0.004740228
w2a2004.2,0.004730124
w2ba30.3,0.004724578
w2ba1701,0.004718035
w2b21.2,0.004713814
w2be18.1,0.004636769
w2b20.1,0.00459456
w2ba31.1,0.004574846
w2ba1500,0.004517907
w2ba18,0.00443145
w2a27.3,0.004356568
w2ba32.2,0.004350089
w2be09.3,0.004341469
w2ba1502,0.004324224
w2bc0203,0.004291217
w2b20,0.00428516
w2a2102a.2,0.004280901
w2a29,0.004216724
w2a22.1,0.004210986
w2a2102b.1,0.004130034
w2bb15.2,0.004129448
w2bc0202,0.004127206
w2be09.2,0.004120384
w2a2004.1,0.004119279
w2a2103b.1,0.004110741
w2bb15.1,0.004107839
w2a2104a.1,0.004107405
w2ba18.1,0.004094572
w2ba2601.2,0.00407761
w2a2102a.1,0.004062136
w2a2101b.2,0.004055202
